LATITUDE,LONGITUD
37.37025278,-121.91142222
37.50049722,-121.92908889
37.73498056,-122.13976667
37.63741111,-121.79876389
37.78006389,-122.42017222
37.64726667,-122.47193333
37.70076667,-122.02098611
37.31192222,-121.86962778
37.87101111,-122.27750833
37.32706944,-122.00808889
37.31406111,-121.79163333
37.23058889,-121.95029167
37.6997,-122.1083
37.24588333,-121.87489444
37.17183889,-121.67189167
37.32935,-122.36583611
37.29789722,-121.79673611
37.34244167,-121.85505
37.36191111,-122.06286944
37.03301667,-121.65748889
37.24819444,-121.96033056
37.44468333,-121.90679722
37.54145833,-122.01912222
37.05371111,-121.58201944
37.85536944,-122.49396111
37.7405,-121.58581944
37.31468056,-122.29368056
38.13457222,-122.68493056
38.10659167,-122.57876667
37.78431111,-122.43964167
37.95853611,-122.55133889
37.42158056,-122.09679722
37.7203,-121.6876
37.701675,-121.88870556
37.45373889,-122.18060278
37.29365833,-121.87361111
37.74223056,-122.42429167
37.43947222,-122.26403333
37.881075,-122.30779167
37.24100833,-121.79770278
37.44812778,-122.33533889
37.69763333,-122.464425
37.631775,-122.40318889
37.25363056,-121.78963056
37.33995833,-121.82152222
37.73764722,-121.61073333
36.97851667,-121.55673889
37.33550556,-121.80052778
37.71346667,-122.43452778
37.59751111,-121.859025
37.67032778,-121.91069444
37.76853611,-122.41560833
37.78042778,-122.41257778
37.51436111,-122.10834722
37.55185,-121.91812222
37.77998889,-122.48576667
37.05856944,-121.58685556
37.33419444,-122.07058889
37.61691667,-122.09317222
37.99235833,-122.5355
37.20998056,-121.72346111
37.77152778,-122.42325
37.0278,-121.56928056
37.93153333,-122.68855833
37.154275,-121.68737222
37.76564444,-122.47264444
36.96853333,-121.41283889
37.70256111,-121.75109722
37.30622222,-121.86366111
37.25585833,-121.862375
37.63042778,-122.08370556
37.72161944,-121.6528
37.73906389,-121.5926
37.78465,-122.41441389
37.75342778,-122.49532222
37.02057778,-121.58652222
37.15577222,-121.66365278
37.66568333,-122.45595278
37.25390278,-122.36595
37.10931667,-122.29456667
37.79751389,-122.43216111
37.36426944,-121.89856944
37.70936389,-122.123775
37.68006111,-122.08526389
37.05634167,-121.59340556
37.30740278,-121.87784167
37.5501,-122.3125
37.34018056,-121.73217222
36.95349722,-121.55228611
37.67510833,-121.814725
37.25543056,-121.79309444
37.11916944,-121.626725
37.32103333,-121.931875
37.55699722,-122.00459167
37.25263611,-121.79713889
37.37714722,-121.94326944
37.34440833,-121.856825
37.38600278,-122.01615556
37.01747222,-121.56338889
37.49840556,-122.32786111
38.14954167,-122.82394722
37.82268056,-122.260725
37.78599722,-122.39094722
37.03130278,-121.54328333
37.13241389,-121.63899444
37.73208611,-122.42954722
37.76993889,-122.40848889
38.24866944,-122.94276111
37.73538889,-122.379275
37.29436389,-121.92264444
37.36503611,-122.062825
37.79266389,-122.40438889
38.02020278,-122.72848333
37.76202778,-122.423825
